taxon_oid,Timepoint
3300060430,6/4/21 21:00
3300060451,6/14/21 9:00
3300060592,6/3/21 17:00
3300060417,6/1/21 21:00
3300060591,5/31/21 17:00
3300060452,6/15/21 13:00
3300060408,6/7/21 1:00
3300060359,5/28/21 9:00
3300060374,6/16/21 13:00
3300060373,5/30/21 1:00
3300060441,6/8/21 21:00
3300060391,6/13/21 9:00
3300060379,6/11/21 5:00
3300060361,5/29/21 9:00
3300060392,6/13/21 13:00
3300060442,6/9/21 5:00
3300060425,6/3/21 9:00
3300060362,5/30/21 13:00
3300060385,6/4/21 13:00
3300060377,6/1/21 9:00
3300060414,5/31/21 13:00
3300060438,6/7/21 17:00
3300060413,5/29/21 21:00
3300060436,6/7/21 5:00
3300060419,6/2/21 5:00
3300060585,5/30/21 9:00
3300060400,6/18/21 5:00
3300060410,5/27/21 13:00
3300060365,6/14/21 5:00
3300060437,6/7/21 9:00
3300060422,6/2/21 21:00
3300060445,6/10/21 1:00
3300060395,6/15/21 9:00
3300060358,5/27/21 21:00
3300060409,6/10/21 5:00
3300060421,6/2/21 13:00
3300060378,6/6/21 1:00
3300060376,5/30/21 5:00
3300060455,6/17/21 17:00
3300060595,6/3/21 21:00
3300060370,6/5/21 21:00
3300060603,5/29/21 1:00
3300060609,6/9/21 9:00
3300060460,6/12/21 9:00
3300060434,6/5/21 17:00
3300060418,6/2/21 1:00
3300060433,6/5/21 13:00
3300060416,6/1/21 17:00
3300060381,5/28/21 1:00
3300060439,6/8/21 9:00
3300060604,5/31/21 1:00
3300060382,5/29/21 13:00
3300060407,6/6/21 21:00
3300060454,6/16/21 9:00
3300060372,5/28/21 13:00
3300060461,6/17/21 21:00
3300060363,5/31/21 9:00
3300060449,6/12/21 13:00
3300060399,6/17/21 9:00
3300060443,6/9/21 13:00
3300060393,6/13/21 17:00
3300060371,5/28/21 5:00
3300060369,6/5/21 9:00
3300060428,6/4/21 5:00
3300060444,6/9/21 21:00
3300060394,6/13/21 21:00
3300060426,6/3/21 13:00
3300060593,6/14/21 17:00
3300060364,6/14/21 1:00
3300060380,6/16/21 17:00
3300060459,6/10/21 13:00
3300060453,6/16/21 5:00
3300060420,6/2/21 9:00
3300060412,5/29/21 17:00
3300060388,6/9/21 17:00
3300060605,6/1/21 1:00
3300060386,6/7/21 13:00
3300060457,6/6/21 17:00
3300060411,5/29/21 5:00
3300060586,6/2/21 17:00
3300060588,6/10/21 21:00
3300060447,6/11/21 17:00
3300060397,6/17/21 1:00
3300060900,6/10/21 9:00
3300060435,6/6/21 9:00
3300060367,6/15/21 17:00
3300060899,6/7/21 21:00
3300060587,6/9/21 1:00
3300060368,6/15/21 21:00
3300060366,6/15/21 1:00
3300060398,6/17/21 5:00
3300060448,6/11/21 21:00
3300060446,6/11/21 13:00
3300060424,6/3/21 5:00
3300060396,6/16/21 1:00
3300060423,6/3/21 1:00
3300060401,6/18/21 9:00
3300060429,6/4/21 17:00
3300060375,6/16/21 21:00
3300060387,6/8/21 17:00
3300060456,6/18/21 1:00
3300060458,5/30/21 17:00
3300060432,6/5/21 5:00
3300060427,6/4/21 1:00
3300060590,5/30/21 21:00
3300060383,5/31/21 21:00
3300060389,6/12/21 5:00
3300060450,6/12/21 17:00
3300060431,6/5/21 1:00
3300060589,6/14/21 21:00
3300060384,6/4/21 9:00
3300060360,5/28/21 17:00
3300060415,6/1/21 13:00
3300060440,6/8/21 13:00
3300060390,6/13/21 5:00
3300067202,5/27/21 17:00
3300067228,5/28/21 21:00
3300067064,5/31/21 5:00
3300067062,6/1/21 5:00
3300067230,6/6/21 5:00
3300067160,6/6/21 13:00
3300067231,6/8/21 1:00
3300067165,6/8/21 5:00
3300067161,6/11/21 9:00
3300068014,6/12/21 1:00
3300067164,6/14/21 13:00
3300068252,6/15/21 5:00
3300067063,6/17/21 13:00
